Customer ID,Arrival Time,Item Type,Service Time,Server ID,Service Start,Waiting Time,Departure Time
1,2.55,Smoothie,3.069,1,2.55,0.0,5.619
2,2.613,Smoothie Bowl,6.28,2,2.613,0.0,8.893
3,3.418,Fresh Pressed Juice,4.369,1,5.619,2.202,9.989
4,4.049,Smoothie Bowl,6.552,2,8.893,4.844,15.445
5,7.383,Smoothie,2.548,1,9.989,2.606,12.537
6,10.206,Smoothie,2.902,1,12.537,2.331,15.438
7,15.774,Smoothie,3.914,1,15.774,0.0,19.688
8,16.002,Smoothie Bowl,5.629,2,16.002,0.0,21.631
9,17.372,Fresh Pressed Juice,3.791,1,19.688,2.317,23.48
10,17.447,Smoothie Bowl,5.918,2,21.631,4.184,27.549
11,18.064,Smoothie,2.87,1,23.48,5.416,26.35
12,19.824,Fresh Pressed Juice,3.525,1,26.35,6.526,29.875
13,19.891,Fresh Pressed Juice,4.796,2,27.549,7.658,32.344
14,20.445,Smoothie,2.829,1,29.875,9.43,32.704
15,23.069,Smoothie Bowl,6.019,2,32.344,9.275,38.363
16,25.037,Smoothie,2.571,1,32.704,7.667,35.275
17,25.66,Smoothie,3.441,1,35.275,9.615,38.716
18,27.884,Fresh Pressed Juice,3.844,2,38.363,10.479,42.208
19,32.029,Smoothie,3.072,1,38.716,6.687,41.788
20,32.045,Smoothie Bowl,6.058,1,41.788,9.743,47.847
21,36.143,Smoothie Bowl,6.722,2,42.208,6.065,48.929
22,39.137,Smoothie,3.581,1,47.847,8.71,51.428
23,40.177,Fresh Pressed Juice,4.074,2,48.929,8.752,53.003
24,40.599,Smoothie,3.461,1,51.428,10.829,54.889
25,48.478,Smoothie,3.152,2,53.003,4.525,56.155
26,49.504,Smoothie,3.931,1,54.889,5.385,58.82
27,49.747,Smoothie Bowl,5.527,2,56.155,6.408,61.682
28,50.002,Fresh Pressed Juice,3.357,1,58.82,8.818,62.177
29,54.703,Smoothie Bowl,6.741,2,61.682,6.979,68.423
30,57.017,Smoothie,3.458,1,62.177,5.16,65.636
31,61.131,Fresh Pressed Juice,3.306,1,65.636,4.504,68.941
32,64.402,Fresh Pressed Juice,4.079,2,68.423,4.021,72.502
33,66.323,Fresh Pressed Juice,4.061,1,68.941,2.618,73.002
34,75.364,Smoothie,2.986,2,75.364,0.0,78.35
35,76.553,Smoothie,3.894,1,76.553,0.0,80.446
36,78.56,Smoothie Bowl,6.663,2,78.56,0.0,85.224
37,82.982,Smoothie,2.587,1,82.982,0.0,85.569
38,85.391,Smoothie Bowl,6.894,2,85.391,0.0,92.285
39,90.337,Smoothie,3.229,1,90.337,0.0,93.566
40,92.49,Smoothie,3.641,2,92.49,0.0,96.131
41,95.538,Fresh Pressed Juice,3.257,1,95.538,0.0,98.795
42,95.655,Smoothie,3.325,2,96.131,0.475,99.455
43,96.302,Smoothie,3.809,1,98.795,2.493,102.604
44,97.156,Smoothie,2.818,2,99.455,2.299,102.273
45,97.364,Fresh Pressed Juice,4.46,2,102.273,4.909,106.733
46,98.027,Smoothie,2.968,1,102.604,4.577,105.571
47,98.293,Smoothie Bowl,6.3,1,105.571,7.279,111.871
48,99.107,Smoothie,3.276,2,106.733,7.626,110.009
49,101.631,Smoothie,2.837,2,110.009,8.378,112.846
50,102.766,Smoothie,3.382,1,111.871,9.105,115.253
51,103.922,Smoothie,2.83,2,112.846,8.925,115.677
52,104.509,Smoothie,3.447,1,115.253,10.744,118.7
53,105.286,Smoothie,3.858,2,115.677,10.391,119.535
54,112.184,Smoothie Bowl,5.142,1,118.7,6.516,123.842
55,114.794,Smoothie,3.503,2,119.535,4.741,123.038
56,117.143,Smoothie,2.698,2,123.038,5.896,125.737
57,117.612,Smoothie Bowl,6.142,1,123.842,6.23,129.984
